qt_tok_dom_ponto,qt_tok_dom_hifen,qt_tok_dom_underline,qt_tok_dir_ponto,qt_tok_dir_barra,qt_tok_dir_interrog,qt_tok_dir_igualdade,qt_tok_dir_hifen,qt_tok_dir_underline,qt_tok_dir_arroba,qt_tok_dir_exclam,at_tok_dir_til,qt_tok_arq_ponto,qt_tok_arq_interrog,qt_tok_arq_igualdade,qt_tok_arq_hifen,qt_tok_arq_underline,qt_tok_arq_arroba,qt_tok_arq_exclam,at_tok_arq_til,qt_tok_par_ponto,qt_tok_par_barra,qt_tok_par_interrog,qt_tok_par_igualdade,qt_tok_par_hifen,qt_tok_par_underline,qt_tok_par_arroba,qt_tok_par_ecomerc,qt_tok_par_exclam,at_tok_par_til,qt_params,qt_tok_url_ponto,qt_tok_url_barra,qt_tok_url_interrog,qt_tok_url_igualdade,qt_tok_url_hifen,qt_tok_url_underline,qt_tok_url_arroba,qt_tok_url_ecomerc,qt_tok_url_exclam,at_tok_url_til,pres_tld_arg,comp_dominio,comp_diretorio,comp_arquivo,comp_params,comp_url,mal_phi,presenca_marca,ip_assoc,sn_assoc,data_tempo_ativo,geo_localizacao,rank_google,rank_alexa,rbl_check,classe
3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,21,9,12,0,42,0,3,1,0,0,AU,4,-1,4,benigna
3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,21,9,12,0,42,0,0,1,0,0,AU,4,-1,4,benigna
3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,21,9,12,0,42,0,0,1,0,0,AU,4,-1,4,benigna
3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,20,8,0,0,28,0,0,1,0,0,AU,-1,-1,4,benigna
3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,20,9,8,0,37,0,0,1,0,0,AU,-1,12,4,benigna
3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,24,18,0,0,42,0,2,1,0,0,AU,0,-1,4,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,1,3,0,AU,4,-1,12,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,1,0,0,AU,1,3,4,benigna
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,1,4,3210,AU,4,-1,20,benigna
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,1,4,3211,AU,4,719,18,benigna
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0,0,1,2,0,AU,6,-1,8,benigna
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0,0,1,2,0,AU,6,-1,8,benigna
3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,15,5,16,0,36,0,0,1,4,0,AU,7,234,16,benigna
3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,15,20,0,0,35,0,0,1,5,0,AU,6,-1,20,benigna
3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,15,20,0,0,35,0,0,1,5,0,AU,6,1,20,benigna
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,1,2,0,AU,7,-1,8,benigna
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,1,0,0,AU,5,-1,4,benigna
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,1,4,0,AU,5,-1,16,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,1,2,0,AU,4,12,8,benigna
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,1,3,0,AU,4,5,10,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,1,4,981,AU,6,-1,20,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,1,4,982,AU,6,487,17,benigna
4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,22,16,0,0,38,0,0,1,0,0,AU,7,-1,4,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,1,3,0,AU,5,2,12,benigna
4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,23,21,8,0,52,0,0,1,2,0,AU,6,13,8,benigna
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,1,2,0,AU,5,-1,8,benigna
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,1,3,0,AU,5,-1,12,benigna
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,34,0,0,0,34,0,1,1,3,0,AU,3,18,12,benigna
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,1,3,0,AU,6,-1,12,benigna
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,1,6,0,AU,4,-1,24,benigna
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,1,6,0,AU,4,18,22,benigna
3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,17,10,0,0,27,0,2,2,4,3210,AU,6,-1,20,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,1,2,0,AU,5,1,5,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,28,0,0,0,28,0,1,1,2,0,AU,2,-1,8,benigna
3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,14,10,0,0,24,0,0,1,2,0,AU,5,-1,8,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,1,2,0,AU,4,-1,8,benigna
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,1,4,0,AU,4,-1,16,benigna
3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,16,16,0,0,32,0,0,1,4,0,AU,-1,-1,17,benigna
2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,15,11,0,0,26,0,2,1,0,0,BE,4,-1,4,benigna
2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,14,8,0,0,22,0,0,1,0,0,BE,4,-1,4,benigna
2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,16,29,0,0,45,0,2,2,0,0,BE,4,-1,8,benigna
2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,16,8,10,0,34,0,0,2,0,0,BE,4,-1,8,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,1,2,0,BE,5,-1,9,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,1,2,0,BE,5,-1,8,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,1,2,0,BE,5,874,4,benigna
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,20,0,0,0,20,0,0,1,2,0,BE,5,-1,10,benigna
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,26,0,0,0,26,0,0,1,3,0,BE,4,-1,12,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,1,2,0,BE,4,4,8,benigna
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,1,1,0,BE,5,-1,4,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,1,2,0,BE,0,-1,8,benigna
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,1,2,0,BG,2,-1,8,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,1,2,0,BG,2,-1,8,benigna
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,1,2,0,BG,2,18,8,benigna
2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,6,2,0,0,0,0,0,25,21,44,0,90,0,1,2,2,0,BR,7,-1,8,benigna
2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,20,19,8,0,47,0,1,2,2,0,BR,7,-1,8,benigna
2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,20,22,10,0,52,0,1,2,2,0,BR,7,508,8,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,24,0,0,40,0,2,1,0,0,BR,9,4,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,19,0,0,35,0,0,1,0,0,BR,9,4,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,38,0,0,54,0,2,1,0,0,BR,9,-1,5,benigna
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,16,25,0,0,41,0,0,1,0,0,BR,9,-1,5,benigna
